Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Status
110-piece-comprehensive-tool-set-with-crv-24-tooth-ratchet-g-10302,110-piece comprehensive tool set with CRV 24-tooth ratchet,"<p>110-piece comprehensive tool set with CRV 24-tooth ratchet for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, hand-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,G-10302,30,18670,,TRUE,FALSE,,110-piece comprehensive tool set with CRV 24-tooth ratchet in Pakistan,"Buy 110-piece comprehensive tool set with CRV 24-tooth ratchet in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
58-piece-orange-black-box-tool-set-with-24-teeth-zh-zhtz003,58-piece orange-black box tool set with 24 teeth,"<p>58-piece orange-black box tool set with 24 teeth for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, hand-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,ZH-ZHTZ003,30,9080,,TRUE,FALSE,,58-piece orange-black box tool set with 24 teeth in Pakistan | Pak Hom,"Buy 58-piece orange-black box tool set with 24 teeth in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
g-10302-1-2-9-piece-ratchet-long-press-fit-universal-joint-extension-bar-set-s2-h-g-1,G-10302 1/2 9-piece Ratchet Long Press-fit Universal Joint Extension Bar Set S2 H,"<p>G-10302 1/2 9-piece Ratchet Long Press-fit Universal Joint Extension Bar Set S2 H for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, hand-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,G-10302-02,30,3333,,TRUE,FALSE,,G-10302 1/2 9-piece Ratchet Long Press-fit Universal Joint Extension B,"Buy G-10302 1/2 9-piece Ratchet Long Press-fit Universal Joint Extension Bar Set S2 H in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
1-2-61-piece-tool-set-green-box-crv-24-tooth-ratchet-a1-f06102,"1/2 61-piece tool set, green box, CRV, 24-tooth ratchet","<p>1/2 61-piece tool set, green box, CRV, 24-tooth ratchet for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, hand-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,A1-F06102,30,9080,,TRUE,FALSE,,"1/2 61-piece tool set, green box, CRV, 24-tooth ratchet in Pakistan | ","Buy 1/2 61-piece tool set, green box, CRV, 24-tooth ratchet in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
94-piece-tool-set-green-box-crv-24-tooth-ratchet-a1-f09402,"94-piece tool set, green box, CRV, 24-tooth ratchet","<p>94-piece tool set, green box, CRV, 24-tooth ratchet for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, hand-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,A1-F09402,30,9080,,TRUE,FALSE,,"94-piece tool set, green box, CRV, 24-tooth ratchet in Pakistan | Pak ","Buy 94-piece tool set, green box, CRV, 24-tooth ratchet in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
double-open-end-wrench-cloth-bag-8-32mm-mirror-polished-bs-bdjm004,"Double Open-End Wrench, Cloth Bag, 8-32mm, Mirror Polished","<p>Double Open-End Wrench, Cloth Bag, 8-32mm, Mirror Polished for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, hand-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,BS-BDJM004,36,6357,,TRUE,FALSE,,"Double Open-End Wrench, Cloth Bag, 8-32mm, Mirror Polished in Pakistan","Buy Double Open-End Wrench, Cloth Bag, 8-32mm, Mirror Polished in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
double-open-end-wrench-cloth-bag-8-32mm-mirror-polished-bs-bdjm003,"Double Open-End Wrench, Cloth Bag, 8-32mm, Mirror Polished","<p>Double Open-End Wrench, Cloth Bag, 8-32mm, Mirror Polished for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, hand-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,BS-BDJM003,40,4131,,TRUE,FALSE,,"Double Open-End Wrench, Cloth Bag, 8-32mm, Mirror Polished in Pakistan","Buy Double Open-End Wrench, Cloth Bag, 8-32mm, Mirror Polished in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
27-piece-ratchet-screwdriver-fastening-set-s056501,27 - piece ratchet screwdriver fastening set,"<p>27 - piece ratchet screwdriver fastening set for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, hand-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,S056501,30,10948,,TRUE,FALSE,,27 - piece ratchet screwdriver fastening set in Pakistan | Pak Home Es,"Buy 27 - piece ratchet screwdriver fastening set in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
temperature-reducing-vest-011029y,temperature - reducing vest,"<p>temperature - reducing vest for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,011029Y,288,23765,,TRUE,FALSE,,temperature - reducing vest in Pakistan | Pak Home Essentials,"Buy temperature - reducing vest in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
temperature-reducing-vest-011030bn,temperature - reducing vest,"<p>temperature - reducing vest for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,011030BN,288,11772,,TRUE,FALSE,,temperature - reducing vest in Pakistan | Pak Home Essentials,"Buy temperature - reducing vest in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
deli-dl8081-vacuum-cleaner-5000pa-70w-wired-dl8081,"Deli DL8081 vacuum cleaner, 5000pa, 70W, wired","<p>Deli DL8081 vacuum cleaner, 5000pa, 70W, wired for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Power Tools,"tools-hardware, power-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,DL8081,100,5126,,TRUE,FALSE,,"Deli DL8081 vacuum cleaner, 5000pa, 70W, wired in Pakistan | Pak Home ","Buy Deli DL8081 vacuum cleaner, 5000pa, 70W, wired in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
deli-dl8080-vacuum-cleaner-5500pa-75w-wireless-and-portable-dl8080,"Deli DL8080 vacuum cleaner, 5500pa, 75W, wireless and portable","<p>Deli DL8080 vacuum cleaner, 5500pa, 75W, wireless and portable for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Power Tools,"tools-hardware, power-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,DL8080,100,10350,,TRUE,FALSE,,"Deli DL8080 vacuum cleaner, 5500pa, 75W, wireless and portable in Paki","Buy Deli DL8080 vacuum cleaner, 5500pa, 75W, wireless and portable in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
vacuum-cleaner-hy-1932,vacuum cleaner,"<p>vacuum cleaner for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Power Tools,"tools-hardware, power-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,HY-1932,102,7151,,TRUE,FALSE,,vacuum cleaner in Pakistan | Pak Home Essentials,"Buy vacuum cleaner in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
vacuum-cleaner-hy-1925,vacuum cleaner,"<p>vacuum cleaner for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Power Tools,"tools-hardware, power-tools, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,HY-1925,102,7151,,TRUE,FALSE,,vacuum cleaner in Pakistan | Pak Home Essentials,"Buy vacuum cleaner in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
electric-shaver-jpc90040,electric shaver,"<p>electric shaver for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,JPC90040,60,2553,,TRUE,FALSE,,electric shaver in Pakistan | Pak Home Essentials,"Buy electric shaver in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
electric-shaver-jpc90054,electric shaver,"<p>electric shaver for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,JPC90054,60,1704,,TRUE,FALSE,,electric shaver in Pakistan | Pak Home Essentials,"Buy electric shaver in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
electric-shaver-jpc90035,electric shaver,"<p>electric shaver for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,JPC90035,80,1987,,TRUE,FALSE,,electric shaver in Pakistan | Pak Home Essentials,"Buy electric shaver in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
electric-shaver-jpc90034,electric shaver,"<p>electric shaver for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,JPC90034,60,3025,,TRUE,FALSE,,electric shaver in Pakistan | Pak Home Essentials,"Buy electric shaver in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
electric-shaver-jpc90021,electric shaver,"<p>electric shaver for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,JPC90021,80,4252,,TRUE,FALSE,,electric shaver in Pakistan | Pak Home Essentials,"Buy electric shaver in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
hair-straightener-jpc10005,hair straightener,"<p>hair straightener for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,JPC10005,80,2176,,TRUE,FALSE,,hair straightener in Pakistan | Pak Home Essentials,"Buy hair straightener in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
hair-dryer-chinese-jpc37000,hair dryer chinese,"<p>hair dryer chinese for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,JPC37000,96,2176,,TRUE,FALSE,,hair dryer chinese in Pakistan | Pak Home Essentials,"Buy hair dryer chinese in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
hair-dryer-jmakay-jpc30294,hair dryer jmakay,"<p>hair dryer jmakay for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,JPC30294,96,2836,,TRUE,FALSE,,hair dryer jmakay in Pakistan | Pak Home Essentials,"Buy hair dryer jmakay in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
body-scale-hy-5007,body scale,"<p>body scale for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,HY-5007,70,2383,,TRUE,FALSE,,body scale in Pakistan | Pak Home Essentials,"Buy body scale in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-earphones-ows-lx-ows02,Bluetooth earphones,"<p>Bluetooth earphones for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,OWS-LX-OWS02,100,3974,,TRUE,FALSE,,Bluetooth earphones in Pakistan | Pak Home Essentials,"Buy Bluetooth earphones in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-earphones-nc3295,Bluetooth earphones,"<p>Bluetooth earphones for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,NC3295,100,1656,,TRUE,FALSE,,Bluetooth earphones in Pakistan | Pak Home Essentials,"Buy Bluetooth earphones in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-earphones-isb-250522-m-01,Bluetooth earphones,"<p>Bluetooth earphones for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,ISB-250522-M-01,100,1838,,TRUE,FALSE,,Bluetooth earphones in Pakistan | Pak Home Essentials,"Buy Bluetooth earphones in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-earphones-isb-250522-m-02,Bluetooth earphones,"<p>Bluetooth earphones for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,ISB-250522-M-02,100,2276,,TRUE,FALSE,,Bluetooth earphones in Pakistan | Pak Home Essentials,"Buy Bluetooth earphones in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-watch-y-s9-watch-max,Bluetooth watch,"<p>Bluetooth watch for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,Y-S9-WATCH-MAX,100,2141,,TRUE,FALSE,,Bluetooth watch in Pakistan | Pak Home Essentials,"Buy Bluetooth watch in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
bluetooth-watch-t800-ultra-tws,Bluetooth watch,"<p>Bluetooth watch for practical daily work, home repair, and workshop use in Pakistan.</p><ul><li>Practical tool for household and professional use</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily maintenance and repair tasks</li></ul>",Pak Home Essentials,Hardware > Tools,Tools & Hardware,"tools-hardware, cod-available, quality-checked, pakistan, daily-use, first-batch, new-arrivals",TRUE,Title,Default Title,T800-ULTRA-TWS,100,2651,,TRUE,FALSE,,Bluetooth watch in Pakistan | Pak Home Essentials,"Buy Bluetooth watch in Pakistan. Practical, quality checked tools with COD support and reliable daily use value.",active
