Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Status
2-in-1-bikini-trimmer-for-women-painless-electric-razor-waterproof,"2-in-1 Bikini Trimmer for Women – Painless Electric Razor, Waterproof","<p>2-in-1 Bikini Trimmer for Women – Painless Electric Razor, Waterproof for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-001,0,3500,5045.00,TRUE,FALSE,,"2-in-1 Bikini Trimmer for Women – Painless Electric Razor, Waterproof ","2-in-1 Bikini Trimmer for Women – Painless Electric Razor, Waterproof for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
electric-shaver-with-triple-blade-system-type-c-fast-charging-and-lcd-display,"Electric Shaver with Triple Blade System, Type-C Fast Charging & LCD Display","<p>Electric Shaver with Triple Blade System, Type-C Fast Charging &amp; LCD Display for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-002,0,3000,7230.00,TRUE,FALSE,,"Electric Shaver with Triple Blade System, Type-C Fast Charging & LCD D","Electric Shaver with Triple Blade System, Type-C Fast Charging & LCD Display for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
facial-hair-trimmer-with-360-floating-blades-led-display-and-type-c-charging,"Facial Hair Trimmer with 360° Floating Blades, LED Display & Type-C Charging","<p>Facial Hair Trimmer with 360° Floating Blades, LED Display &amp; Type-C Charging for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-003,0,4500,7500.00,TRUE,FALSE,,"Facial Hair Trimmer with 360° Floating Blades, LED Display & Type-C Ch","Facial Hair Trimmer with 360° Floating Blades, LED Display & Type-C Charging for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
folding-handle-hair-dryer-portable-lightweight-travel-hairdryer-with-cool-shot,"Folding Handle Hair Dryer – Portable, Lightweight Travel Hairdryer with Cool Shot","<p>Folding Handle Hair Dryer – Portable, Lightweight Travel Hairdryer with Cool Shot for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-004,0,3500,4525.00,TRUE,FALSE,,"Folding Handle Hair Dryer – Portable, Lightweight Travel Hairdryer wit","Folding Handle Hair Dryer – Portable, Lightweight Travel Hairdryer with Cool Shot for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
hair-dryer-with-20000-rpm-motor-and-concentrator-nozzle,Hair Dryer with 20000 RPM Motor and Concentrator Nozzle,<p>Hair Dryer with 20000 RPM Motor and Concentrator Nozzle for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-005,0,3000,4320,TRUE,FALSE,,Hair Dryer with 20000 RPM Motor and Concentrator Nozzle in Pakistan | ,"Hair Dryer with 20000 RPM Motor and Concentrator Nozzle for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
hair-dryer-with-diffuser-and-concentrator-fast-drying-salon-hair-dryer,Hair Dryer with Diffuser and Concentrator Fast Drying Salon Hair Dryer,<p>Hair Dryer with Diffuser and Concentrator Fast Drying Salon Hair Dryer for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-006,0,2700,3700.00,TRUE,FALSE,,Hair Dryer with Diffuser and Concentrator Fast Drying Salon Hair Dryer,"Hair Dryer with Diffuser and Concentrator Fast Drying Salon Hair Dryer for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
jamaky-1800w-hair-dryer-35000-rpm-dc-motor-cool-air-2-speeds,"JAMAKY 1800W Hair Dryer – 35000 RPM DC Motor, Cool Air, 2 Speeds","<p>JAMAKY 1800W Hair Dryer – 35000 RPM DC Motor, Cool Air, 2 Speeds for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-007,0,3000,4320.00,TRUE,FALSE,,"JAMAKY 1800W Hair Dryer – 35000 RPM DC Motor, Cool Air, 2 Speeds in Pa","JAMAKY 1800W Hair Dryer – 35000 RPM DC Motor, Cool Air, 2 Speeds for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
jamaky-3-in-1-men-s-grooming-kit-shaver-and-hair-trimmer-hot-sale,JAMAKY 3-in-1 Men’s Grooming Kit Shaver and Hair Trimmer – Hot Sale,<p>JAMAKY 3-in-1 Men’s Grooming Kit Shaver and Hair Trimmer – Hot Sale for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-008,0,3300,4500.00,TRUE,FALSE,,JAMAKY 3-in-1 Men’s Grooming Kit Shaver and Hair Trimmer – Hot Sale in,"JAMAKY 3-in-1 Men’s Grooming Kit Shaver and Hair Trimmer – Hot Sale for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
jamaky-hot-sale-electric-hair-trimmer-use-charging-lithium-battery-shaving-machine,JAMAKY Hot Sale Electric Hair Trimmer Use Charging Lithium Battery Shaving Machine,<p>JAMAKY Hot Sale Electric Hair Trimmer Use Charging Lithium Battery Shaving Machine for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-009,0,3700,4280.00,TRUE,FALSE,,JAMAKY Hot Sale Electric Hair Trimmer Use Charging Lithium Battery Sha,"JAMAKY Hot Sale Electric Hair Trimmer Use Charging Lithium Battery Shaving Machine for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
jamaky-jpc90021-hair-trimmer-7000-rpm-4-guide-combs-usb-charging-led-display,"JAMAKY JPC90021 Hair Trimmer – 7000 RPM, 4 Guide Combs, USB Charging, LED Display","<p>JAMAKY JPC90021 Hair Trimmer – 7000 RPM, 4 Guide Combs, USB Charging, LED Display for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-010,0,4500,7100.00,TRUE,FALSE,,"JAMAKY JPC90021 Hair Trimmer – 7000 RPM, 4 Guide Combs, USB Charging, ","JAMAKY JPC90021 Hair Trimmer – 7000 RPM, 4 Guide Combs, USB Charging, LED Display for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
jamaky-jpc90035-pro-series-hair-trimmer-6300-rpm-usb-charging-led-display,"JAMAKY JPC90035 Pro Series Hair Trimmer – 6300 RPM, USB Charging, LED Display","<p>JAMAKY JPC90035 Pro Series Hair Trimmer – 6300 RPM, USB Charging, LED Display for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-011,0,2500,3120.00,TRUE,FALSE,,"JAMAKY JPC90035 Pro Series Hair Trimmer – 6300 RPM, USB Charging, LED ","JAMAKY JPC90035 Pro Series Hair Trimmer – 6300 RPM, USB Charging, LED Display for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
jamaky-jpc90054-pro-series-hair-trimmer-wireless-usb-charging,"JAMAKY JPC90054 Pro Series Hair Trimmer (Wireless, USB Charging)","<p>JAMAKY JPC90054 Pro Series Hair Trimmer (Wireless, USB Charging) for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-012,0,2200,2410.00,TRUE,FALSE,,"JAMAKY JPC90054 Pro Series Hair Trimmer (Wireless, USB Charging) in Pa","JAMAKY JPC90054 Pro Series Hair Trimmer (Wireless, USB Charging) for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
three-head-rotary-electric-shaver-waterproof-and-usb-charging,"Three-Head Rotary Electric Shaver, Waterproof & USB Charging","<p>Three-Head Rotary Electric Shaver, Waterproof &amp; USB Charging for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-013,0,4000,6540.00,TRUE,FALSE,,"Three-Head Rotary Electric Shaver, Waterproof & USB Charging in Pakist","Three-Head Rotary Electric Shaver, Waterproof & USB Charging for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
3l-digital-rice-cooker-with-smart-led-display-and-multi-function-cooking,3L Digital Rice Cooker with Smart LED Display and Multi-Function Cooking,<p>3L Digital Rice Cooker with Smart LED Display and Multi-Function Cooking for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"kitchen-appliances, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-KA-001,0,10000,15000.00,TRUE,FALSE,,3L Digital Rice Cooker with Smart LED Display and Multi-Function Cooki,"3L Digital Rice Cooker with Smart LED Display and Multi-Function Cooking for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
electric-meat-and-sausage-grinder-machine-stainless-steel-blades,"Electric Meat & Sausage Grinder Machine, Stainless Steel Blades","<p>Electric Meat &amp; Sausage Grinder Machine, Stainless Steel Blades for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"kitchen-appliances, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-KA-002,0,9000,20000.00,TRUE,FALSE,,"Electric Meat & Sausage Grinder Machine, Stainless Steel Blades in Pak","Electric Meat & Sausage Grinder Machine, Stainless Steel Blades for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
electric-meat-grinder-machine-with-stainless-steel-cutting-plates-and-powerful-motor,Electric Meat Grinder Machine with Stainless Steel Cutting Plates and Powerful Motor,<p>Electric Meat Grinder Machine with Stainless Steel Cutting Plates and Powerful Motor for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"kitchen-appliances, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-KA-003,0,9500,21020.00,TRUE,FALSE,,Electric Meat Grinder Machine with Stainless Steel Cutting Plates and ,"Electric Meat Grinder Machine with Stainless Steel Cutting Plates and Powerful Motor for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
electric-pressure-cooker-with-multifunction-cooking,Electric Pressure Cooker with Multifunction Cooking,<p>Electric Pressure Cooker with Multifunction Cooking for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"kitchen-appliances, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-KA-004,0,17599,25600.00,TRUE,FALSE,,Electric Pressure Cooker with Multifunction Cooking in Pakistan | Pak ,"Electric Pressure Cooker with Multifunction Cooking for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
haley-2-in-1-blender-and-grinder-500w-hy-2937,HALEY 2-in-1 Blender & Grinder 500W (HY-2937),<p>HALEY 2-in-1 Blender &amp; Grinder 500W (HY-2937) for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"kitchen-appliances, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-KA-005,0,5500,7000.00,TRUE,FALSE,,HALEY 2-in-1 Blender & Grinder 500W (HY-2937) in Pakistan | Pak Home E,"HALEY 2-in-1 Blender & Grinder 500W (HY-2937) for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
haley-digital-kitchen-scale-electronic-food-weighing-scale-with-lcd-display,Haley Digital Kitchen Scale Electronic Food Weighing Scale with LCD Display,<p>Haley Digital Kitchen Scale Electronic Food Weighing Scale with LCD Display for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"kitchen-appliances, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-KA-006,0,1100,2000.00,TRUE,FALSE,,Haley Digital Kitchen Scale Electronic Food Weighing Scale with LCD Di,"Haley Digital Kitchen Scale Electronic Food Weighing Scale with LCD Display for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
haley-hy-1925-2-in-1-upright-vacuum-cleaner-with-powerful-suction-for-home-cleaning,HALEY HY-1925 2-in-1 Upright Vacuum Cleaner with Powerful Suction for Home Cleaning,<p>HALEY HY-1925 2-in-1 Upright Vacuum Cleaner with Powerful Suction for Home Cleaning for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden > Household Supplies,Home Cleaning,"home-cleaning, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-HC-001,0,7999,12020.00,TRUE,FALSE,,HALEY HY-1925 2-in-1 Upright Vacuum Cleaner with Powerful Suction for ,"HALEY HY-1925 2-in-1 Upright Vacuum Cleaner with Powerful Suction for Home Cleaning for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
haley-upright-vacuum-cleaner-2-in-1-600w-home-cleaning-machine,Haley Upright Vacuum Cleaner 2-in-1 600W Home Cleaning Machine,<p>Haley Upright Vacuum Cleaner 2-in-1 600W Home Cleaning Machine for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden > Household Supplies,Home Cleaning,"home-cleaning, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-HC-002,0,7999,12010.00,TRUE,FALSE,,Haley Upright Vacuum Cleaner 2-in-1 600W Home Cleaning Machine in Paki,"Haley Upright Vacuum Cleaner 2-in-1 600W Home Cleaning Machine for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
silvers-criest-electric-juicer-250ml-200w-powerful-motor-easy-clean-juice-extractor,"Silvers Criest Electric Juicer 250ml, 200W Powerful Motor, Easy Clean Juice Extractor","<p>Silvers Criest Electric Juicer 250ml, 200W Powerful Motor, Easy Clean Juice Extractor for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"kitchen-appliances, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-KA-007,0,6000,10140.00,TRUE,FALSE,,"Silvers Criest Electric Juicer 250ml, 200W Powerful Motor, Easy Clean ","Silvers Criest Electric Juicer 250ml, 200W Powerful Motor, Easy Clean Juice Extractor for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
slivers-criest-3-in-1-blender-and-grinder-spices-and-nuts,"Slivers Criest 3 in 1 Blender & Grinder, Spices & Nuts","<p>Slivers Criest 3 in 1 Blender &amp; Grinder, Spices &amp; Nuts for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"kitchen-appliances, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-KA-008,0,4000,5500.00,TRUE,FALSE,,"Slivers Criest 3 in 1 Blender & Grinder, Spices & Nuts in Pakistan | P","Slivers Criest 3 in 1 Blender & Grinder, Spices & Nuts for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
bluetooth-speaker,Bluetooth Speaker,<p>Bluetooth Speaker for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden,Daily Use Products,"daily-use, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-DU-001,0,1799,2000,TRUE,FALSE,,Bluetooth Speaker in Pakistan | Pak Home Essentials,"Bluetooth Speaker for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
haley-turkish-coffee-pot,Haley Turkish Coffee Pot,<p>Haley Turkish Coffee Pot for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"kitchen-appliances, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-KA-009,0,2649,4000,TRUE,FALSE,,Haley Turkish Coffee Pot in Pakistan | Pak Home Essentials,"Haley Turkish Coffee Pot for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
haley-stream-iron,Haley Stream Iron,<p>Haley Stream Iron for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden,Daily Use Products,"daily-use, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-DU-002,0,2799,4000,TRUE,FALSE,,Haley Stream Iron in Pakistan | Pak Home Essentials,"Haley Stream Iron for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
haley-coffee-maker,Haley Coffee Maker,<p>Haley Coffee Maker for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden > Kitchen & Dining,Kitchen Appliances,"kitchen-appliances, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-KA-010,0,8999,11000,TRUE,FALSE,,Haley Coffee Maker in Pakistan | Pak Home Essentials,"Haley Coffee Maker for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
haley-hy-1910-2-in-1-upright-vacuum-cleaner-with-powerful-suction-for-home-cleaning,HALEY HY-1910 2-in-1 Upright Vacuum Cleaner with Powerful Suction for Home Cleaning,<p>HALEY HY-1910 2-in-1 Upright Vacuum Cleaner with Powerful Suction for Home Cleaning for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Home & Garden > Household Supplies,Home Cleaning,"home-cleaning, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-HC-003,0,7999,9000,TRUE,FALSE,,HALEY HY-1910 2-in-1 Upright Vacuum Cleaner with Powerful Suction for ,"HALEY HY-1910 2-in-1 Upright Vacuum Cleaner with Powerful Suction for Home Cleaning for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
